pastgame_GD,Fitted
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
-2.0,-1.9375221180809732
